Precinct,ANNISSA ESSAIBI GEORGE,RICHARD A SPAGNUOLO,ANDREA JOY CAMPBELL,KIM M JANEY,MICHELLE WU,JON SANTIAGO,ROBERT CAPPUCCI,JOHN F BARROS,Total Votes,Unresolved Write-In
"WARD 3, PRECINCT 2",95.0,12.0,57.0,31.0,137.0,1.0,3.0,12.0,348.0,0.0
"WARD 3, PRECINCT 3",101.0,24.0,52.0,27.0,195.0,1.0,4.0,7.0,412.0,1.0
"WARD 3, PRECINCT 4",118.0,41.0,53.0,20.0,186.0,1.0,9.0,12.0,440.0,0.0
"WARD 3, PRECINCT 5",151.0,4.0,174.0,109.0,402.0,3.0,12.0,31.0,889.0,3.0
"WARD 3, PRECINCT 6",205.0,4.0,222.0,117.0,506.0,7.0,8.0,32.0,1102.0,1.0
"WARD 3, PRECINCT 7",148.0,0.0,367.0,91.0,437.0,1.0,3.0,36.0,1083.0,0.0
"WARD 3, PRECINCT 8",162.0,1.0,189.0,342.0,743.0,4.0,13.0,26.0,1481.0,1.0
"WARD 4, PRECINCT 1",76.0,0.0,178.0,44.0,263.0,1.0,0.0,16.0,578.0,0.0
"WARD 4, PRECINCT 10",0.0,0.0,7.0,6.0,22.0,0.0,0.0,2.0,37.0,0.0
"WARD 4, PRECINCT 2",101.0,1.0,170.0,145.0,339.0,9.0,6.0,32.0,804.0,1.0
"WARD 4, PRECINCT 3",51.0,0.0,118.0,61.0,184.0,5.0,0.0,14.0,434.0,1.0
"WARD 4, PRECINCT 4",54.0,1.0,154.0,74.0,155.0,4.0,1.0,15.0,458.0,0.0
"WARD 4, PRECINCT 5",49.0,1.0,77.0,86.0,98.0,6.0,3.0,10.0,330.0,0.0
"WARD 4, PRECINCT 6",26.0,0.0,42.0,53.0,96.0,1.0,1.0,2.0,221.0,0.0
"WARD 4, PRECINCT 7",20.0,0.0,68.0,45.0,104.0,6.0,2.0,6.0,251.0,0.0
"WARD 4, PRECINCT 8",29.0,0.0,43.0,51.0,114.0,2.0,3.0,5.0,248.0,1.0
"WARD 4, PRECINCT 9",8.0,0.0,8.0,37.0,27.0,3.0,0.0,2.0,85.0,0.0
"WARD 5, PRECINCT 1",154.0,1.0,225.0,214.0,531.0,7.0,4.0,27.0,1163.0,0.0
"WARD 5, PRECINCT 10",32.0,0.0,66.0,36.0,135.0,1.0,0.0,11.0,281.0,0.0
"WARD 5, PRECINCT 11",56.0,0.0,85.0,20.0,126.0,1.0,2.0,7.0,297.0,0.0
"WARD 5, PRECINCT 2",19.0,0.0,62.0,24.0,138.0,2.0,2.0,8.0,255.0,0.0
"WARD 5, PRECINCT 2A",19.0,0.0,38.0,34.0,96.0,1.0,2.0,4.0,194.0,0.0
"WARD 5, PRECINCT 3",66.0,0.0,122.0,35.0,202.0,0.0,2.0,16.0,443.0,0.0
"WARD 5, PRECINCT 4",56.0,1.0,100.0,31.0,210.0,0.0,5.0,11.0,414.0,0.0
"WARD 5, PRECINCT 5",42.0,0.0,54.0,13.0,85.0,2.0,2.0,10.0,208.0,0.0
